index,nodeid,testname,iodepth,device,count,mean_mean,mean_min,stdev_mean,stdev_max,disk_type,disk_name,disk_model,units
4390,c220g2-011308,write,4096,/dev/sdb,80,176229.575,170130.0,7696.35550459,14510.8,HDD,/dev/sdb,HUC101212CSS600,KB/s
4391,c220g2-011308,write,4096,/dev/sdc,80,444904.5125,428249.0,25691.3490752,30648.4,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4627,c220g2-011318,write,1,/dev/sdb,78,87900.4153846,36864.3,2673.9864683,9923.52,HDD,/dev/sdb,HUC101212CSS600,KB/s
4622,c220g2-011318,read,1,/dev/sdc,78,87269.6948718,37323.0,1969.46221388,7658.14,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4624,c220g2-011318,read,4096,/dev/sdb,78,177079.051282,173553.0,9235.06786049,11014.3,HDD,/dev/sdb,HUC101212CSS600,KB/s
4625,c220g2-011318,read,4096,/dev/sdc,78,494580.269231,479083.0,3531.51046276,9929.78,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4626,c220g2-011318,write,1,/dev/sda4,78,87034.8115385,56399.4,2897.38695473,6214.85,HDD,/dev/sda,HUC101212CSS600,KB/s
4623,c220g2-011318,read,4096,/dev/sda4,78,177405.705128,174249.0,8678.4585654,22478.6,HDD,/dev/sda,HUC101212CSS600,KB/s
4628,c220g2-011318,write,1,/dev/sdc,78,78606.5653846,36092.1,1283.20200143,5277.11,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4629,c220g2-011318,write,4096,/dev/sda4,78,180472.666667,178041.0,15370.6112714,17951.1,HDD,/dev/sda,HUC101212CSS600,KB/s
4630,c220g2-011318,write,4096,/dev/sdb,78,182203.653846,180728.0,7919.46324145,14642.1,HDD,/dev/sdb,HUC101212CSS600,KB/s
4631,c220g2-011318,write,4096,/dev/sdc,78,453574.935897,436423.0,24537.8462498,29859.9,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4620,c220g2-011318,read,1,/dev/sda4,78,105846.592308,39632.3,3056.48438151,5090.53,HDD,/dev/sda,HUC101212CSS600,KB/s
4621,c220g2-011318,read,1,/dev/sdb,78,107065.5,39564.5,3091.94975367,5054.61,HDD,/dev/sdb,HUC101212CSS600,KB/s
4615,c220g2-011318,randwrite,1,/dev/sdb,78,2425.42217949,2227.89,104.198256054,270.318,HDD,/dev/sdb,HUC101212CSS600,KB/s
4619,c220g2-011318,randwrite,4096,/dev/sdc,78,232645.679487,230416.0,4511.75670648,5472.82,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4612,c220g2-011318,randread,4096,/dev/sdb,78,2989.88166667,2924.35,136.846018666,146.159,HDD,/dev/sdb,HUC101212CSS600,KB/s
